AccountID,AccountCreatedDay,AccountCreatedDay_Key,AccountCreatedWeek,AccountCreatedWeek_Key
935afc18-43be-43b9-9d39-6469f18a9d32,2022-02-25T00:00:00.0000000Z,20220225,2022-02-20T00:00:00.0000000Z,20220220
153f08c5-7a39-46a5-9477-0cdde5c3c9e7,2022-02-25T00:00:00.0000000Z,20220225,2022-02-20T00:00:00.0000000Z,20220220
4a7e4e7d-2182-491c-b99c-83da1172ac32,2022-02-07T00:00:00.0000000Z,20220207,2022-02-06T00:00:00.0000000Z,20220206
fbe40696-9366-433e-bdfa-4b207bf7f3d2,2022-02-11T00:00:00.0000000Z,20220211,2022-02-06T00:00:00.0000000Z,20220206
ef997ccf-b8ca-4a5d-af8d-211d1042cb52,2022-02-11T00:00:00.0000000Z,20220211,2022-02-06T00:00:00.0000000Z,20220206
8352e7bf-e114-436e-8448-64e5520d6799,2022-02-11T00:00:00.0000000Z,20220211,2022-02-06T00:00:00.0000000Z,20220206
b1197eb4-f8db-44c1-9322-a75dedf47b9d,2022-02-08T00:00:00.0000000Z,20220208,2022-02-06T00:00:00.0000000Z,20220206
7c9bf990-59c6-420d-a8be-29d200b98008,2022-02-22T00:00:00.0000000Z,20220222,2022-02-20T00:00:00.0000000Z,20220220
21dbb15c-ca5e-46c2-9b71-abb3c98cbe5b,2022-02-19T00:00:00.0000000Z,20220219,2022-02-13T00:00:00.0000000Z,20220213
2df21df5-1187-4b85-a04b-0023150c0db6,2022-02-13T00:00:00.0000000Z,20220213,2022-02-13T00:00:00.0000000Z,20220213
e11c9ca8-7145-48ed-9939-fcf3c0047616,2022-02-10T00:00:00.0000000Z,20220210,2022-02-06T00:00:00.0000000Z,20220206
165f579b-9644-49d2-9fdc-71dda77ef02e,2022-02-05T00:00:00.0000000Z,20220205,2022-01-30T00:00:00.0000000Z,20220130
5b3dde1c-00ca-4545-9e73-c24fd9c80871,2022-02-03T00:00:00.0000000Z,20220203,2022-01-30T00:00:00.0000000Z,20220130
c8e75221-92fe-4d0f-8760-389096bcacca,2022-02-01T00:00:00.0000000Z,20220201,2022-01-30T00:00:00.0000000Z,20220130
1ff0e507-b195-44a6-8d57-b09b17623b72,2022-02-21T00:00:00.0000000Z,20220221,2022-02-20T00:00:00.0000000Z,20220220
7fdfab04-ce4c-4563-b9f6-692978deabff,2022-02-20T00:00:00.0000000Z,20220220,2022-02-20T00:00:00.0000000Z,20220220
aa3930c3-09fb-42cc-9cd7-2ad3c257d3e9,2022-02-10T00:00:00.0000000Z,20220210,2022-02-06T00:00:00.0000000Z,20220206
f59a886d-dc63-45b9-8afc-661b49b9bf85,2022-02-21T00:00:00.0000000Z,20220221,2022-02-20T00:00:00.0000000Z,20220220
93d84b78-3978-475a-b275-634aceb5d65d,2022-02-08T00:00:00.0000000Z,20220208,2022-02-06T00:00:00.0000000Z,20220206
6c8ce65f-3e57-4c1c-b134-e818cb2fbfc8,2022-02-23T00:00:00.0000000Z,20220223,2022-02-20T00:00:00.0000000Z,20220220
cb1471d5-d859-4b03-9fee-c9b2133b7103,2022-02-14T00:00:00.0000000Z,20220214,2022-02-13T00:00:00.0000000Z,20220213
cbf5a829-756e-484a-a560-e2f9124e0a49,2022-02-14T00:00:00.0000000Z,20220214,2022-02-13T00:00:00.0000000Z,20220213
e49efe25-afbf-4fc6-aad2-a68ffc20e6ed,2022-02-14T00:00:00.0000000Z,20220214,2022-02-13T00:00:00.0000000Z,20220213
a9f1e269-afd1-4516-8dc7-438c3389a4f3,2022-02-23T00:00:00.0000000Z,20220223,2022-02-20T00:00:00.0000000Z,20220220
cd29cb24-f913-4767-92ee-f5ac6bf317d6,2022-02-14T00:00:00.0000000Z,20220214,2022-02-13T00:00:00.0000000Z,20220213
b4058861-fa32-499e-9d4b-09815b704abe,2022-02-03T00:00:00.0000000Z,20220203,2022-01-30T00:00:00.0000000Z,20220130
7501f8a0-94ac-4533-9fe2-56f6a5602500,2022-02-18T00:00:00.0000000Z,20220218,2022-02-13T00:00:00.0000000Z,20220213
4ec458ad-c05b-49de-996c-f66e3f19b20c,2022-02-18T00:00:00.0000000Z,20220218,2022-02-13T00:00:00.0000000Z,20220213
814acbeb-f48b-4e8d-9120-11699c7138f5,2022-02-14T00:00:00.0000000Z,20220214,2022-02-13T00:00:00.0000000Z,20220213
cde3745a-5e5d-49fa-9580-6d81333dc954,2022-02-14T00:00:00.0000000Z,20220214,2022-02-13T00:00:00.0000000Z,20220213
791b661e-7074-433a-8180-731784b880f6,2022-02-09T00:00:00.0000000Z,20220209,2022-02-06T00:00:00.0000000Z,20220206
7f4664a7-17b4-4252-b22c-bce8ecfd6c98,2022-02-14T00:00:00.0000000Z,20220214,2022-02-13T00:00:00.0000000Z,20220213
33d99f16-11e7-41b2-bd68-b5d7b0fde0bb,2022-02-16T00:00:00.0000000Z,20220216,2022-02-13T00:00:00.0000000Z,20220213
c2ba7db1-699b-4965-bab3-a0a01a5afa1d,2022-02-22T00:00:00.0000000Z,20220222,2022-02-20T00:00:00.0000000Z,20220220
8494a1a2-0174-478e-b27e-1eb9da77d94f,2022-02-14T00:00:00.0000000Z,20220214,2022-02-13T00:00:00.0000000Z,20220213
b4198142-489e-4909-9635-0e373f24cefb,2022-02-20T00:00:00.0000000Z,20220220,2022-02-20T00:00:00.0000000Z,20220220
87a1df49-7991-455a-9044-ea2e093b594b,2022-02-25T00:00:00.0000000Z,20220225,2022-02-20T00:00:00.0000000Z,20220220
5891a5f4-75c0-4195-83cb-d6e5e17acbbc,2022-02-09T00:00:00.0000000Z,20220209,2022-02-06T00:00:00.0000000Z,20220206
bce1d082-cd13-4da3-a4eb-9fd5d4783830,2022-02-02T00:00:00.0000000Z,20220202,2022-01-30T00:00:00.0000000Z,20220130
337107a9-ffdb-43fc-9d4e-b8f24e0f5f56,2022-02-03T00:00:00.0000000Z,20220203,2022-01-30T00:00:00.0000000Z,20220130
c37d8af9-bdcb-4b60-8c64-07b4b919fe03,2022-02-21T00:00:00.0000000Z,20220221,2022-02-20T00:00:00.0000000Z,20220220
3688fcec-e8ac-4e74-948f-15c6e3c155ef,2022-02-25T00:00:00.0000000Z,20220225,2022-02-20T00:00:00.0000000Z,20220220
3766bb0a-4f93-4835-852b-436ba502688b,2022-02-04T00:00:00.0000000Z,20220204,2022-01-30T00:00:00.0000000Z,20220130
19aa1204-2df0-4a76-8092-6979ec588ba4,2022-02-10T00:00:00.0000000Z,20220210,2022-02-06T00:00:00.0000000Z,20220206
fb0f67a7-de75-4b07-9291-c1d2df127779,2022-02-02T00:00:00.0000000Z,20220202,2022-01-30T00:00:00.0000000Z,20220130
77c26d75-8ebe-490a-95a3-37507d590f00,2022-02-09T00:00:00.0000000Z,20220209,2022-02-06T00:00:00.0000000Z,20220206
5c56cc94-03ea-4583-9408-3d86fbfdf5ed,2022-02-25T00:00:00.0000000Z,20220225,2022-02-20T00:00:00.0000000Z,20220220
445b6beb-bab9-4bd6-92bb-6be8f2b29676,2022-02-18T00:00:00.0000000Z,20220218,2022-02-13T00:00:00.0000000Z,20220213
75318343-0677-403f-b850-f3c7c9c132a8,2022-02-02T00:00:00.0000000Z,20220202,2022-01-30T00:00:00.0000000Z,20220130
26ac5826-8442-443f-9d7b-8f3d30410da4,2022-02-11T00:00:00.0000000Z,20220211,2022-02-06T00:00:00.0000000Z,20220206
183ca180-4896-4e87-b4a0-4b14f1d2dbb9,2022-02-10T00:00:00.0000000Z,20220210,2022-02-06T00:00:00.0000000Z,20220206
8fa7ee81-7c09-4865-a115-045f7697fa89,2022-02-22T00:00:00.0000000Z,20220222,2022-02-20T00:00:00.0000000Z,20220220
8dd29df3-992b-4243-ab31-09fb0c6b5828,2022-02-13T00:00:00.0000000Z,20220213,2022-02-13T00:00:00.0000000Z,20220213
